"Privilege Parent Group","Privilege Parent GroupID","Privilege Name","Privilege ID","Privilege Description","HEDC_DAAS_Admin","HEDC_DBA","HEDC_ITSM_Admins","HEDC_Networking","HEDC_Operations","HEDC_Operations_wProvision","HEDC_Printer_admins","HEDC_SCOIN_CM","HEDC_SCPT_Admins","HEDC_SCPT_Admins_Test"
"CertificateManagement","CertificateManagement","Administer","CertificateManagement.Administer","Administer","False","False","False","False","False","False","False","False","False","False"
"HLM","HLM","Create","HLM.Create","Create","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Create subscribed library","ContentLibrary.CreateSubscribedLibrary","Create a subscribed library","False","False","False","False","False","False","False","False","False","False"
"Namespaces","Namespaces","ListAccess","Namespaces.ListAccess","ListAccess","False","False","False","False","False","False","False","False","False","False"
"Rule","AutoDeploy.Rule","Delete","AutoDeploy.Rule.Delete","Delete a rule","False","False","False","False","False","False","False","False","False","False"
"Lifecycle Manager: Settings Privileges","VcIntegrity.lifecycleSettings","Read","VcIntegrity.lifecycleSettings.Read","Read privilege for Lifecycle Manager Settings","False","False","False","False","False","False","False","False","False","False"
"Manage Baseline","VcIntegrity.Baseline","Manage Baseline","VcIntegrity.Baseline.com.vmware.vcIntegrity.ManageBaselines","Create, edit, or delete a baseline.","False","False","False","False","False","False","False","False","False","False"
"Lifecycle Manager: General Privileges","VcIntegrity.lifecycleGeneral","Read","VcIntegrity.lifecycleGeneral.Read","General Read privilege for Lifecycle Manager resource","False","False","False","False","False","False","False","False","False","False"
"Manage Patches and Upgrades","VcIntegrity.Updates","Remediate to Apply Patches, Extensions, and Upgrades","VcIntegrity.Updates.com.vmware.vcIntegrity.Remediate","Remediate virtual machines, virtual appliances, and hosts to apply patches, extensions, or upgrades. In addition, this privilege allows you to view the compliance status.","False","False","False","False","False","False","False","False","False","False"
"Namespaces","Namespaces","ManageCapabilities","Namespaces.ManageCapabilities","ManageCapabilities","False","False","False","False","False","False","False","False","False","False"
"vService","vService","Create dependency","vService.CreateDependency","Create a vService dependency on a virtual machine or vApp","False","False","False","False","False","False","False","False","False","False"
"Upload file","VcIntegrity.FileUpload","Upload upgrade images and offline bundles","VcIntegrity.FileUpload.com.vmware.vcIntegrity.ImportFile","Upload host upgrade releases and offline patch bundles","False","False","False","False","False","False","False","False","False","False"
"VcIdentityProviders","VcIdentityProviders","Manage","VcIdentityProviders.Manage","Manage","False","False","False","False","False","False","False","False","False","False"
"Lifecycle Manager: Depots Privileges","VcIntegrity.lifecycleDepots","Delete","VcIntegrity.lifecycleDepots.Delete","Delete privilege for Lifecycle Manager Depots","False","False","False","False","False","False","False","False","False","False"
"Image Profile","AutoDeploy.Profile","Create","AutoDeploy.Profile.Create","Create an Image Profile","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Update local library","ContentLibrary.UpdateLocalLibrary","Update a local library","False","False","False","False","False","False","False","False","False","False"
"IntercomNamespace","IntercomNamespace","Write","IntercomNamespace.Write","Write","False","False","False","False","False","False","False","False","False","False"
"Tagging","InventoryService.Tagging","EditCategory","InventoryService.Tagging.EditCategory","EditCategory","False","False","False","False","False","False","False","False","False","False"
"ServiceAccount","ServiceAccount","ManagePassword","ServiceAccount.ManagePassword","ManagePassword","False","False","False","False","False","False","False","False","False","False"
"Tagging","InventoryService.Tagging","CreateCategory","InventoryService.Tagging.CreateCategory","CreateCategory","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Publish a library to its subscribers","ContentLibrary.PublishLibrary","Publish a library","False","False","False","False","False","False","False","False","False","False"
"vSphereClient","vSphereClient","UtilizeVerificationCode","vSphereClient.UtilizeVerificationCode","UtilizeVerificationCode","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Probe subscription information","ContentLibrary.ProbeSubscription","Probe remote library subscription information to validate subscription configuration","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Read storage","ContentLibrary.ReadStorage","Get storage information for a library item","False","False","False","False","False","False","False","False","False","False"
"Storage views","StorageViews","View","StorageViews.View","View","False","False","True","True","True","True","True","True","True","True"
"Content Library","ContentLibrary","Add library item","ContentLibrary.AddLibraryItem","Add or copy a library item to a local library","False","False","False","False","False","False","False","False","False","True"
"Content Library","ContentLibrary","Create local library","ContentLibrary.CreateLocalLibrary","Create a local library","False","False","False","False","False","False","False","False","False","False"
,,"System","System","System","False","False","False","False","False","False","False","False","False","False"
,,"Trusted Infrastructure administrator","TrustedAdmin","Setup and monitoring of Trusted Infrastructure","False","False","False","False","False","False","False","False","False","False"
,,"Global","Global","Global","False","False","False","False","False","False","False","False","False","False"
,,"Folder","Folder","Folder","False","False","False","False","False","False","False","False","False","False"
,,"Datacenter","Datacenter","Datacenter","False","False","False","False","False","False","False","False","False","False"
,,"Datastore","Datastore","Datastore","False","False","False","False","False","False","False","False","False","False"
,,"Network","Network","Networks","False","False","False","False","False","False","False","False","False","False"
,,"Distributed switch","DVSwitch","Distributed switch","False","False","False","False","False","False","False","False","False","False"
,,"dvPort group","DVPortgroup","dvPort groups","False","False","False","False","False","False","False","False","False","False"
,,"Host","Host","Host","False","False","False","False","False","False","False","False","False","False"
,,"Inventory","Host.Inventory","Host inventory","False","False","False","False","False","False","False","False","False","False"
,,"vSphere Replication","Host.Hbr","vSphere Replication operations","False","False","False","False","False","False","False","False","False","False"
,,"Configuration","Host.Config","Host configuration","False","False","False","False","False","False","False","False","False","False"
,,"Local operations","Host.Local","Host local operations","False","False","False","False","False","False","False","False","False","False"
,,"CIM","Host.Cim","CIM","False","False","False","False","False","False","False","False","False","False"
,,"Virtual machine","VirtualMachine","Virtual machine","False","False","False","False","False","False","False","False","False","False"
